feature,mean_cluster0,mean_cluster1,difference_cluster1_minus_cluster0,cohens_d,abs_cohens_d,p_value,q_value
Grouping_based_variance_of_washin_slope_3D_tumor_Group_1,0.09350937946658282,-0.16308481061731403,-0.25659419008389683,-0.2582927809054399,0.2582927809054399,8.34940694203604e-07,1.4202045891759054e-06
Grouping_based_variance_of_peak_enhancement_slope_3D_tumor_Group_1,0.09350937946658282,-0.16308481061731403,-0.25659419008389683,-0.2582927809054399,0.2582927809054399,8.34940694203604e-07,1.4202045891759054e-06
Grouping_based_proportion_of_tumor_voxels_2D_tumorSlice_Group_1,0.09305850115997188,-0.16229845738018875,-0.2553569585401606,-0.2570282138471249,0.2570282138471249,0.00017549696443635657,0.00026677555800813977
Sum_of_squares_variance_Tumor,-0.09305094455587173,0.16228527830280012,0.25533622285867186,0.25700702243490886,0.25700702243490886,0.00026217742269807093,0.0003917849056702812
SER_map_mean_tumor,0.09243607267917431,-0.16121291247022623,-0.25364898514940054,-0.2552829671060987,0.2552829671060987,7.309608717068891e-05,0.00011273419858103334
SER_map_Correlation2_tumor,-0.09238274918589781,0.1611199137587385,0.2535026629446363,0.25513347654356267,0.25513347654356267,0.0001568180976510296,0.00023906851199447145
SER_map_Correlation1_tumor,-0.09238274918531733,0.16111991375772605,0.25350266294304336,0.25513347654193524,0.25513347654193524,0.0001568180976598896,0.00023906851199447145
WashinRate_map_inverse_difference_moment_normalized_tissue_PostCon,-0.09161821518741163,0.15978653005906215,0.25140474524647377,0.2529905608779352,0.2529905608779352,0.00025534456130750694,0.0003826551641123829
PE_map_Correlation2_tumor,-0.09026307110979034,0.15742309425695641,0.24768616536674676,0.24919417516970008,0.24919417516970008,0.00033313323826249957,0.0004895207862246174
PE_map_Correlation1_tumor,-0.09026307110979034,0.15742309425695641,0.24768616536674676,0.24919417516970008,0.24919417516970008,0.00033313323826249957,0.0004895207862246174
WashinRate_map_Contrast_tissue_PostCon,0.0900723131112625,-0.15709040322380968,-0.2471627163350722,-0.24865997247347993,0.24865997247347993,0.000315213944462554,0.000468393754552503
Inf_mea_of_corr1_Tumor,-0.08956093693577834,0.15619853882251838,0.2457594757582967,0.247228143933013,0.247228143933013,0.0005845777756947198,0.0008519053535606247
WashinRate_map_sum_entropy_tumor,-0.08919429411270603,0.15555909627990072,0.24475339039260674,0.2462017760543147,0.2462017760543147,0.00020638335323841685,0.00031193369675177864
Ratio_Tissue_vol_enhancing_more_than_20percent_from_PostCon_to_Breast_Vol,-0.0887928230544077,0.15485891163655602,0.2436517346909637,0.24507811537672908,0.24507811537672908,0.0006966691590754316,0.0010014619161709329
Grouping_based_proportion_of_tumor_voxels_2D_tumorSlice_Group_2,-0.08789099473358472,0.15328608010083516,0.24117707483441989,0.24255479870094054,0.24255479870094054,0.0007889232335366701,0.0011240410421167902
Dissimilarity_tissue_PostCon,-0.08769129355658845,0.1529377917385727,0.24062908529516114,0.24199617840959137,0.24199617840959137,0.0014988799153553718,0.0020811219822125765
Homogeneity1_Tumor,0.08739976933518957,-0.15242935961434778,-0.23982912894953734,-0.24118079637485326,0.24118079637485326,0.0006676145672149252,0.0009623109156858186
Inv_Diff_homo_Tumor,0.08739976933518957,-0.15242935961434778,-0.23982912894953734,-0.24118079637485326,0.24118079637485326,0.0006676145672149252,0.0009623109156858186
Sum_variance_Tumor,-0.08676874626584799,0.15132882533269862,0.2380975715985466,0.2394162258891086,0.2394162258891086,0.0006271057423843286,0.0009113707080255764
Enhancement_variance_increasing_rate_Tumor,0.08669342389416144,-0.1511974595296983,-0.23789088342385972,-0.23920563137933237,0.23920563137933237,5.224666264699221e-06,8.530396463042864e-06
Diff_entropy_Tumor,-0.08589147461041384,0.14979882179077939,0.2356902964011932,0.2369639047012372,0.2369639047012372,0.0007645516256357562,0.0010960645256404202
WashinRate_map_skewness_tissue_PostCon,-0.0856780159278447,0.14942653968368155,0.23510455561152627,0.2363673517985171,0.2363673517985171,0.0009613126324351977,0.0013524850599952649
Energy_tissue_PostCon,-0.08553075593321928,0.14916971124067482,0.2347004671738941,0.23595583805829665,0.23595583805829665,0.0007886268008123545,0.0011240410421167902
Homogeneity2_Tumor,0.08499342988262439,-0.14823258902148242,-0.23322601890410682,-0.23445452874655237,0.23445452874655237,0.0009182950205821216,0.0012954081757011796
SER_map_information_measure_correlation1_tissue_PostCon,0.08426694301821631,-0.1469655613353417,-0.23123250435355802,-0.2324252741157149,0.2324252741157149,0.0018416765352847215,0.0025305113952353705
